route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
2012520,2773705,527737051437087,ILRI,ILRI,1,
2012520,2773715,527737151437087,ILRI,ILRI,1,
2012520,2773716,527737161437087,ILRI,ILRI,1,
2012520,2773704,5327737041437087,ILRI,ILRI,1,
2012520,2773705,5327737051437087,ILRI,ILRI,1,
2012520,2773715,5327737151437087,ILRI,ILRI,1,
2012520,2773716,5327737161437087,ILRI,ILRI,1,
2012520,2773704,5927737041437087,ILRI,ILRI,1,
2012520,2773705,5927737051437087,ILRI,ILRI,1,
2012520,2773715,5927737151437087,ILRI,ILRI,1,
2012520,2773716,5927737161437087,ILRI,ILRI,1,
2012520,2773704,6527737041437087,ILRI,ILRI,1,
2012520,2773705,6527737051437087,ILRI,ILRI,1,
2012520,2773715,6527737151437087,ILRI,ILRI,1,
2012520,2773716,6527737161437087,ILRI,ILRI,1,
2012520,2773704,7127737041437087,ILRI,ILRI,1,
2012520,2773705,7127737051437087,ILRI,ILRI,1,
2012520,2773715,7127737151437087,ILRI,ILRI,1,
2012520,2773716,7127737161437087,ILRI,ILRI,1,
2012520,2773704,7727737041437087,ILRI,ILRI,1,
2012520,2773705,7727737051437087,ILRI,ILRI,1,
2012520,2773715,7727737151437087,ILRI,ILRI,1,
2012520,2773716,7727737161437087,ILRI,ILRI,1,
2012520,2773704,8327737041437087,ILRI,ILRI,1,
2012520,2773705,8327737051437087,ILRI,ILRI,1,
2012520,2773715,8327737151437087,ILRI,ILRI,1,
2012520,2773716,8327737161437087,ILRI,ILRI,1,
2012520,2773710,1127737101002969,ILUS,ILUS,1,
2012520,2787697,1127876971002969,ILUS,ILUS,1,
2012520,2787698,1127876981002969,ILUS,ILUS,1,
2012520,2787699,1127876991002969,ILUS,ILUS,1,
2012520,2787700,1127877001002969,ILUS,ILUS,1,
2012520,2845673,1128456731002969,ILUS,ILUS,1,
2012520,2852774,1128527741002969,ILUS,ILUS,1,
2012520,2874384,1128743841002969,ILUS,ILUS,1,
2012520,2874385,1128743851002969,ILUS,ILUS,1,
2012520,2919386,1129193861002969,ILUS,ILUS,1,
2012520,2919387,1129193871002969,ILUS,ILUS,1,
2012520,2928852,1129288521002969,ILUS,ILUS,1,
2012520,2773710,1727737101002969,ILUS,ILUS,1,
2012520,2787697,1727876971002969,ILUS,ILUS,1,
2012520,2787698,1727876981002969,ILUS,ILUS,1,
2012520,2787699,1727876991002969,ILUS,ILUS,1,
2012520,2787700,1727877001002969,ILUS,ILUS,1,
2012520,2845673,1728456731002969,ILUS,ILUS,1,
2012520,2852774,1728527741002969,ILUS,ILUS,1,
2012520,2874384,1728743841002969,ILUS,ILUS,1,
2012520,2874385,1728743851002969,ILUS,ILUS,1,
2012520,2919386,1729193861002969,ILUS,ILUS,1,
2012520,2919387,1729193871002969,ILUS,ILUS,1,
2012520,2928852,1729288521002969,ILUS,ILUS,1,
2012520,2773710,2327737101002969,ILUS,ILUS,1,
2012520,2787697,2327876971002969,ILUS,ILUS,1,
2012520,2787698,2327876981002969,ILUS,ILUS,1,
2012520,2787699,2327876991002969,ILUS,ILUS,1,
2012520,2787700,2327877001002969,ILUS,ILUS,1,
2012520,2845673,2328456731002969,ILUS,ILUS,1,
2012520,2852774,2328527741002969,ILUS,ILUS,1,
2012520,2874384,2328743841002969,ILUS,ILUS,1,
2012520,2874385,2328743851002969,ILUS,ILUS,1,
2012520,2919386,2329193861002969,ILUS,ILUS,1,
2012520,2919387,2329193871002969,ILUS,ILUS,1,
2012520,2928852,2329288521002969,ILUS,ILUS,1,
2012520,2773710,2927737101002969,ILUS,ILUS,1,
2012520,2787697,2927876971002969,ILUS,ILUS,1,
2012520,2787698,2927876981002969,ILUS,ILUS,1,
2012520,2787699,2927876991002969,ILUS,ILUS,1,
2012520,2787700,2927877001002969,ILUS,ILUS,1,
2012520,2845673,2928456731002969,ILUS,ILUS,1,
2012520,2852774,2928527741002969,ILUS,ILUS,1,
2012520,2874384,2928743841002969,ILUS,ILUS,1,
2012520,2874385,2928743851002969,ILUS,ILUS,1,
2012520,2919386,2929193861002969,ILUS,ILUS,1,
2012520,2919387,2929193871002969,ILUS,ILUS,1,
2012520,2928852,2929288521002969,ILUS,ILUS,1,
2012520,2773710,3527737101002969,ILUS,ILUS,1,
2012520,2787697,3527876971002969,ILUS,ILUS,1,
2012520,2787698,3527876981002969,ILUS,ILUS,1,
2012520,2787699,3527876991002969,ILUS,ILUS,1,
2012520,2787700,3527877001002969,ILUS,ILUS,1,
2012520,2845673,3528456731002969,ILUS,ILUS,1,
2012520,2852774,3528527741002969,ILUS,ILUS,1,
2012520,2874384,3528743841002969,ILUS,ILUS,1,
2012520,2874385,3528743851002969,ILUS,ILUS,1,
2012520,2919386,3529193861002969,ILUS,ILUS,1,
2012520,2919387,3529193871002969,ILUS,ILUS,1,
2012520,2928852,3529288521002969,ILUS,ILUS,1,
2012520,2773710,4127737101002969,ILUS,ILUS,1,
2012520,2787697,4127876971002969,ILUS,ILUS,1,
2012520,2787698,4127876981002969,ILUS,ILUS,1,
2012520,2787699,4127876991002969,ILUS,ILUS,1,
2012520,2787700,4127877001002969,ILUS,ILUS,1,
2012520,2845673,4128456731002969,ILUS,ILUS,1,
2012520,2852774,4128527741002969,ILUS,ILUS,1,
2012520,2874384,4128743841002969,ILUS,ILUS,1,
2012520,2874385,4128743851002969,ILUS,ILUS,1,
2012520,2919386,4129193861002969,ILUS,ILUS,1,
2012520,2919387,4129193871002969,ILUS,ILUS,1,
2012520,2928852,4129288521002969,ILUS,ILUS,1,
2012520,2773710,4727737101002969,ILUS,ILUS,1,
2012520,2787697,4727876971002969,ILUS,ILUS,1,
2012520,2787698,4727876981002969,ILUS,ILUS,1,
2012520,2787699,4727876991002969,ILUS,ILUS,1,
2012520,2787700,4727877001002969,ILUS,ILUS,1,
2012520,2845673,4728456731002969,ILUS,ILUS,1,
2012520,2852774,4728527741002969,ILUS,ILUS,1,
2012520,2874384,4728743841002969,ILUS,ILUS,1,
2012520,2874385,4728743851002969,ILUS,ILUS,1,
2012520,2919386,4729193861002969,ILUS,ILUS,1,
2012520,2919387,4729193871002969,ILUS,ILUS,1,
2012520,2928852,4729288521002969,ILUS,ILUS,1,
2012520,2773710,527737101002969,ILUS,ILUS,1,
2012520,2787697,527876971002969,ILUS,ILUS,1,
2012520,2787698,527876981002969,ILUS,ILUS,1,
2012520,2787699,527876991002969,ILUS,ILUS,1,
2012520,2787700,527877001002969,ILUS,ILUS,1,
2012520,2845673,528456731002969,ILUS,ILUS,1,
2012520,2852774,528527741002969,ILUS,ILUS,1,
2012520,2874384,528743841002969,ILUS,ILUS,1,
2012520,2874385,528743851002969,ILUS,ILUS,1,
2012520,2919386,529193861002969,ILUS,ILUS,1,
2012520,2919387,529193871002969,ILUS,ILUS,1,
2012520,2928852,529288521002969,ILUS,ILUS,1,
2012520,2773710,5327737101002969,ILUS,ILUS,1,
2012520,2787697,5327876971002969,ILUS,ILUS,1,
2012520,2787698,5327876981002969,ILUS,ILUS,1,
2012520,2787699,5327876991002969,ILUS,ILUS,1,
2012520,2787700,5327877001002969,ILUS,ILUS,1,
2012520,2845673,5328456731002969,ILUS,ILUS,1,
2012520,2852774,5328527741002969,ILUS,ILUS,1,
2012520,2874384,5328743841002969,ILUS,ILUS,1,
2012520,2874385,5328743851002969,ILUS,ILUS,1,
2012520,2919386,5329193861002969,ILUS,ILUS,1,
2012520,2919387,5329193871002969,ILUS,ILUS,1,
2012520,2928852,5329288521002969,ILUS,ILUS,1,
2012520,2773710,5927737101002969,ILUS,ILUS,1,
2012520,2787697,5927876971002969,ILUS,ILUS,1,
2012520,2787698,5927876981002969,ILUS,ILUS,1,
2012520,2787699,5927876991002969,ILUS,ILUS,1,
2012520,2787700,5927877001002969,ILUS,ILUS,1,
2012520,2845673,5928456731002969,ILUS,ILUS,1,
2012520,2852774,5928527741002969,ILUS,ILUS,1,
2012520,2874384,5928743841002969,ILUS,ILUS,1,
2012520,2874385,5928743851002969,ILUS,ILUS,1,
2012520,2919386,5929193861002969,ILUS,ILUS,1,
2012520,2919387,5929193871002969,ILUS,ILUS,1,
2012520,2928852,5929288521002969,ILUS,ILUS,1,
2012520,2773710,6527737101002969,ILUS,ILUS,1,
2012520,2787697,6527876971002969,ILUS,ILUS,1,
2012520,2787698,6527876981002969,ILUS,ILUS,1,
2012520,2787699,6527876991002969,ILUS,ILUS,1,
2012520,2787700,6527877001002969,ILUS,ILUS,1,
2012520,2845673,6528456731002969,ILUS,ILUS,1,
2012520,2852774,6528527741002969,ILUS,ILUS,1,
2012520,2874384,6528743841002969,ILUS,ILUS,1,
2012520,2874385,6528743851002969,ILUS,ILUS,1,
2012520,2919386,6529193861002969,ILUS,ILUS,1,
2012520,2919387,6529193871002969,ILUS,ILUS,1,
2012520,2928852,6529288521002969,ILUS,ILUS,1,
2012520,2773710,7127737101002969,ILUS,ILUS,1,
2012520,2787697,7127876971002969,ILUS,ILUS,1,
2012520,2787698,7127876981002969,ILUS,ILUS,1,
2012520,2787699,7127876991002969,ILUS,ILUS,1,
2012520,2787700,7127877001002969,ILUS,ILUS,1,
2012520,2845673,7128456731002969,ILUS,ILUS,1,
2012520,2852774,7128527741002969,ILUS,ILUS,1,
2012520,2874384,7128743841002969,ILUS,ILUS,1,
2012520,2874385,7128743851002969,ILUS,ILUS,1,
2012520,2919386,7129193861002969,ILUS,ILUS,1,
2012520,2919387,7129193871002969,ILUS,ILUS,1,
2012520,2928852,7129288521002969,ILUS,ILUS,1,
2012520,2773710,7727737101002969,ILUS,ILUS,1,
2012520,2787697,7727876971002969,ILUS,ILUS,1,
2012520,2787698,7727876981002969,ILUS,ILUS,1,
2012520,2787699,7727876991002969,ILUS,ILUS,1,
2012520,2787700,7727877001002969,ILUS,ILUS,1,
2012520,2845673,7728456731002969,ILUS,ILUS,1,
2012520,2852774,7728527741002969,ILUS,ILUS,1,
2012520,2874384,7728743841002969,ILUS,ILUS,1,
2012520,2874385,7728743851002969,ILUS,ILUS,1,
2012520,2919386,7729193861002969,ILUS,ILUS,1,
2012520,2919387,7729193871002969,ILUS,ILUS,1,
2012520,2928852,7729288521002969,ILUS,ILUS,1,
2012520,2773710,8327737101002969,ILUS,ILUS,1,
2012520,2787697,8327876971002969,ILUS,ILUS,1,
2012520,2787698,8327876981002969,ILUS,ILUS,1,
2012520,2787699,8327876991002969,ILUS,ILUS,1,
2012520,2787700,8327877001002969,ILUS,ILUS,1,
2012520,2845673,8328456731002969,ILUS,ILUS,1,
2012520,2852774,8328527741002969,ILUS,ILUS,1,
2012520,2874384,8328743841002969,ILUS,ILUS,1,
2012520,2874385,8328743851002969,ILUS,ILUS,1,
2012520,2919386,8329193861002969,ILUS,ILUS,1,
2012520,2919387,8329193871002969,ILUS,ILUS,1,
2012520,2928852,8329288521002969,ILUS,ILUS,1,
2012520,2773710,8927737101002969,ILUS,ILUS,1,
2012520,2787697,8927876971002969,ILUS,ILUS,1,
2012520,2787698,8927876981002969,ILUS,ILUS,1,
2012520,2787699,8927876991002969,ILUS,ILUS,1,
2012520,2787700,8927877001002969,ILUS,ILUS,1,
2012520,2845673,8928456731002969,ILUS,ILUS,1,
2012520,2852774,8928527741002969,ILUS,ILUS,1,
2012520,2874384,8928743841002969,ILUS,ILUS,1,
2012520,2874385,8928743851002969,ILUS,ILUS,1,
2012520,2919386,8929193861002969,ILUS,ILUS,1,
2012520,2919387,8929193871002969,ILUS,ILUS,1,
2012520,2928852,8929288521002969,ILUS,ILUS,1,
2012520,2773710,9527737101002969,ILUS,ILUS,1,
2012520,2787697,9527876971002969,ILUS,ILUS,1,
2012520,2787698,9527876981002969,ILUS,ILUS,1,
2012520,2787699,9527876991002969,ILUS,ILUS,1,
2012520,2787700,9527877001002969,ILUS,ILUS,1,
2012520,2845673,9528456731002969,ILUS,ILUS,1,
2012520,2852774,9528527741002969,ILUS,ILUS,1,
2012520,2874384,9528743841002969,ILUS,ILUS,1,
2012520,2874385,9528743851002969,ILUS,ILUS,1,
2012520,2919386,9529193861002969,ILUS,ILUS,1,
2012520,2919387,9529193871002969,ILUS,ILUS,1,
2012520,2928852,9529288521002969,ILUS,ILUS,1,
2012520,2773711,1127737111003001,ILAR,ILAR,1,
2012520,2773712,1127737121003001,ILAR,ILAR,1,
2012520,2787697,127876971003001,ILAR,ILAR,1,
2012520,2787698,127876981003001,ILAR,ILAR,1,
2012520,2787699,127876991003001,ILAR,ILAR,1,
2012520,2787700,127877001003001,ILAR,ILAR,1,
