from_stop_id,to_stop_id,transfer_type,min_transfer_time
2117,7898846,2,216
2117,7898847,2,196
2497,7899774,2,216
2497,7899773,2,194
4037298,2364,2,207
7945977,1825,2,393
1916,1657,2,143
7945953,2364,2,391
7946161,2404,2,242
1665,6591480,2,256
7920920,2475,2,270
2364,7931541,2,370
7946162,2404,2,234
2364,7931543,2,225
2364,7931542,2,391
2364,7931548,2,260
2364,7931549,2,391
4473150,2364,2,391
1836,7920969,2,216
3672262,1834,2,270
1997,5138192,2,279
7176242,1834,2,270
2241,2537,2,133
1997,5138195,2,240
7946162,1794,2,234
6217399,2497,2,216
4473142,1997,2,270
1997,5138193,2,270
2391,4037007,2,208
1997,5138194,2,197
2117,1956,2,900
7176242,2339,2,270
2392,2391,2,111
2365,1825,2,293
1825,7946282,2,260
1825,7946283,2,254
1825,7946286,2,460
1644,5582589,2,223
1825,7922526,2,225
1825,7946284,2,391
1825,7922525,2,405
1825,7946285,2,432
7920947,1825,2,260
1825,7922524,2,391
5121382,1825,2,235
7921198,1794,2,237
1825,7922523,2,370
8007382,1687,2,224
1834,4037174,2,196
2030,4037216,2,274
1794,7931901,2,234
1834,4037173,2,210
1794,7931900,2,237
1834,4037171,2,204
2030,4037215,2,249
7932280,1825,2,458
2185,2186,2,80
7920948,2364,2,406
2404,4036786,2,222
2404,4036787,2,263
7946018,2364,2,225
1687,1637,2,110
7931987,2135,2,242
4037251,1825,2,252
6251763,2404,2,222
2364,7899620,2,458
2364,7376192,2,252
2364,7376193,2,396
2365,2364,2,307
2364,7376190,2,395
2364,7376191,2,252
3812934,2475,2,270
7931753,1825,2,458
6217400,1687,2,194
1644,5582590,2,235
2525,1763,2,90
2217,7921110,2,285
7899455,1834,2,204
1825,7922555,2,260
1825,4037002,2,458
1825,4037003,2,254
1825,4037004,2,225
1794,7932096,2,244
1794,7932095,2,251
7946204,1794,2,242
1794,7932094,2,249
1794,7932097,2,197
4473148,2364,2,225
1789,7900436,2,210
3812988,2537,2,274
7946163,2404,2,222
2117,7964940,2,196
7946018,1825,2,225
7946000,2149,2,284
7932007,2537,2,267
1648,2404,2,116
3747942,2094,2,224
1825,6591473,2,432
1825,6591472,2,460
7945954,2364,2,225
1834,6664353,2,201
7945976,2364,2,391
2118,7911793,2,243
1997,4378088,2,259
1825,6591476,2,225
1825,6591475,2,254
7932213,2364,2,432
7275297,2030,2,249
1997,7946400,2,209
3747942,2081,2,224
7921199,2404,2,248
4022899,2149,2,274
2543,7964983,2,288
2364,4473029,2,229
1825,4037037,2,399
2364,4473027,2,235
2364,4473028,2,254
3812935,2475,2,256
3343756,1657,2,180
1998,1997,2,156
1782,1781,2,97
2117,2211,2,900
2403,1794,2,90
2117,7965043,2,196
2117,7965042,2,216
2364,3887812,2,418
7898931,2081,2,207
7921310,1997,2,256
3754199,1997,2,270
2117,7964982,2,216
1794,7991696,2,234
1794,7991695,2,242
5121381,1825,2,235
7898931,2094,2,207
2404,7932097,2,197
2364,5121373,2,254
2404,7932096,2,244
2364,5121372,2,226
2404,7932095,2,251
2404,3893371,2,234
2404,7932094,2,249
2364,5121374,2,222
8007535,1687,2,225
8007533,1687,2,194
2524,7920972,2,216
2404,3893370,2,237
1794,7991689,2,244
1763,5138191,2,188
1763,5138190,2,261
7991694,1794,2,248
2524,7899028,2,216
7921212,1794,2,225
2524,7899029,2,201
2404,3893369,2,242
1794,3893371,2,234
2030,4035036,2,208
1794,3893370,2,237
2030,4035037,2,191
7899434,2339,2,189
2543,7964939,2,237
4473150,1825,2,391
7898938,2117,2,196
2149,2084,2,218
3812988,1657,2,274
2030,7899765,2,191
2030,7899766,2,208
7932280,2364,2,458
1825,4037000,2,460
1825,4037001,2,432
1794,3893369,2,242
